mode,mae,mse,rmse,r2,mean_abs_diff_vs_plaintext,max_abs_diff_vs_plaintext,mean_abs_diff_vs_encoded,max_abs_diff_vs_encoded,match_rate_vs_plaintext_tol_1e_2,match_rate_vs_encoded_tol_1e_2
Plaintext baseline,42.81199941834888,2892.014565750172,53.77745406534389,0.45414652070698236,0.0,0.0,0.0,0.0,1.0,1.0
Encoded plaintext,42.81193911898877,2892.024870299139,53.777549872592175,0.4541445757742103,0.0013364976967894752,0.004519529298960379,0.0,0.0,1.0,1.0
PHE inference,42.81193911898877,2892.024870299139,53.777549872592175,0.4541445757742103,0.0013364976967894752,0.004519529298960379,0.0,0.0,1.0,1.0
