scale,encoded_match_rate,mean_abs_score_error,phe_match_rate
100,1.0,0.02008064636795345,1.0
1000,1.0,0.001389231628822059,1.0
10000,1.0,0.00021561724779746682,1.0
100000,1.0,1.2936157489416186e-05,1.0
