stage,mean_ms,std_ms,median_ms
preprocessing,1.1171499975413706,0.168451957873481,1.0570500016910955
encoding,0.015279998964009186,0.0021909490757111997,0.015099998563528061
key_generation,138.10291000118013,99.18549756013813,82.35514999250881
server_init,13.226103331544437,0.8182558391777824,12.948049989063293
encryption,400.8952433321004,18.097528104162233,397.8938500076765
server_compute,23.712206663913094,1.7093330568115177,23.43745001417119
decryption,3.9474966625372567,0.36267904760997643,3.8250999932643026
sigmoid_threshold,0.011856665757174293,0.0018104660840203833,0.01134999911300838
total_without_keygen,442.92533665235777,18.942830609120822,439.3984999915119
total,581.0469599993667,95.06718967795611,535.9565499966266
