mode,accuracy,precision,recall,f1,roc_auc,match_rate
Plaintext baseline,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,1.0
Encoded plaintext,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,1.0
PHE inference,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,1.0
